q_num,eng_word,jp_word,eng_example,jp_example
42,assess,"[動](税金・罰金)を算定する, 査定する, (価値など)を評価する",,
43,efficacy,"[名]有効性; 効き目, 効能",,
44,site,"[名]跡, 遺跡; (事件などの)現場; 用地, 敷地, 場所",,
45,condition,"[名]条件; 体調, 調子; <複>(周囲の)状況, 事情",,
46,impact,"[名](強い)影響, 効果; 衝突, 衝撃; 衝撃力",,
47,detect,"[動]〜を検出する,  (隠れた)〜を見つける",,
48,medium,"[名]手段, 技法; 媒体,媒介物; 中間",,
49,committed,[形]献身的な,,
50,evidence,"[名]証拠, 証言; 証拠物件; 形跡, しるし",,
51,unfortunately,[副]不運にも,,
52,statistic,"[名]統計事実, 統計値[量]",,
53,obtain,"[動]〜を取得する, 手に入れる",,
54,reference,"[名](人物身元などの)照会(先); 身元保証人; 推薦状; 参照, 問い合わせ, 参考; 引用",,
55,strategic,"[形]戦略的な, 戦略の",,
56,implement,"[名]器具, 道具",,
57,conductor,"[名]伝導体; 指揮者, 指導者",,
58,component,"[名]構成要素[部分], 部品; 成分",,
59,scalable,"[形]拡張可能な, 規模の拡大に対応できる",,
60,affect,"[動]〜に影響を及ぼす, 作用する",,
61,identify,[動](身元・正体)を確認[識別]する; (特に登場人物)に共感する,,
62,square,"[名]正方形, 四角形; ２乗",,
63,closure,"[名]終結, 終わり; 閉鎖, 閉店, 閉会",,
64,firm,[形]しっかりとした; 堅固な,,
65,output,"[名]出力(情報), アウトプット; (ある期間の)生産高",,
66,reserve,[名]<複>埋蔵量; 蓄え; 予備品,,
67,seek,[動]〜を探し求める; （忠告や説明など)を求める,,
68,complex,"[名]複合体, 複合施設",,
69,parameter,[名]<複>条件; 限界; 媒介変数,,
70,abuse,"[名]酷使, 不当な扱い; 虐待; (薬物などの)乱用; 悪用, 誤用",,
71,exercise,[動]〜を行使する; 果たす; 及ぼす,,
72,direction,[名]方向; 指導,,
73,institute,[動](制度など)を制定する; 始める,,
74,outcome,"[名]結果, 成果",,
75,input,"[名]考え[意見・情報]の提供, 協力; インプット, 入力(情報)",,
76,containment,"[名]格納, 封じ込め; 束縛",,
77,survey,"[動]〜を見渡す, 概観する; 〜を調査する",,
78,significance,"[名]重要性, 重大さ; 意味, 意義",,
79,aspect,"[名]局面, 側面; 外観",,
80,specialize,"[動](〜に)特化する, (〜を)専攻とする; (大学レベルで)専攻する, 専門に扱う",,
81,fund,[動]〜に資金を供給する,,
82,weather,[動](嵐・困難など)を乗り越える; 〜を風化させる,,
83,passage,"[名]通り道, 通路; (本などの)一節",,
84,breakage,"[名]破損, 破損物",,
85,decay,"[動]腐敗する, 朽ちる",,
86,table,"[動]〜を保留にする, 棚上げする",,
87,land,"[動](仕事)を見つける, 獲得する; 上陸[着地]する",,
88,federal,[形]連邦の,,
89,sound,"[形]健全な, 適切な; しっかりした",,
90,indication,"[名]兆候, しるし; 指示",,
91,regard,[動]〜を(高く)評価する,,
92,clarity,"[名]透明さ, 清澄さ; 明確さ, 明瞭さ",,
93,reflect,"[動]じっくり考える, 内政する; (〜に)反射[反響]する",,
94,driven,[形]意欲のある; 追いつめられた,,
95,substantial,"[形](量的に)相当な, 十分な; 実体のある",,
96,assumption,"[名]思い込み, (根拠のない)仮定; (責任などを)追うこと; 就任",,
97,pursue,"[動]〜を続ける, 続行する; 追いかける; 追い求める",,
98,simulation,"[名]模擬実験, シミュレーション",,
99,critical,"[形]危機的な, 重大な; 批評の, 批判的な",,
100,contribution,"[名]貢献(すること), 寄与",,
,,,,
101,environment,"[名]<the->自然環境, (社会的な)環境",,
102,finding,"[名]<複>(科学的な)研究成果, 結果; 見つけた[発見した]もの",,
103,symptom,"[名]症状; 兆候, しるし",,
104,objective,"[名]目的, 目標",,
105,relationship,"[名](人などとの)関係, 間柄; 交際",,
106,presidential,[形]大統領の,,
107,sensitive,[形]慎重に扱うべき; 敏感な,,
108,notice,"[名]掲示, 告知",,
109,cellular,[形]細胞の; 携帯(電話)の,,
110,proposal,"[名]提案(書), 企画書; プロポーズ",,
111,beaming,"[形]光り輝く, 光を発する",,
112,intervene,[動]介入[干渉]する; 仲裁する,,
113,draw,"[動]引き出す, (結論など)を出す; 〜を引く, 引き込む; 描画する",,
114,fundamental,"[形]根本的な; 基礎的な, 基本的な; 不可欠の",,
115,intern,"[名]インターン, 実習生",,
116,appeal,"[名](募金などへの)協力要請, 訴え, 懇願",,
117,variable,"[名]不確定要素, 変数",,
118,bound,[形]縛られた; 決定的な,,
119,progress,"[名]進捗, 進歩, 前進",,
120,counsel,"[名](法廷)弁護士, 訴訟代理人; 助言, 忠告",,
121,matrix,"[名](ものを生み出す)基盤, 母体; <数学>行列, マトリクス; 細胞間の基質",,
122,trial,"[名](競技などの)予選会; 裁判, 公判; 試み",,
123,expertise,"[名]専門知識, 技能",,
124,qualify,"[動](〜に)適任である, 資格を得る",,
125,characterize,[動]〜を特徴づける,,
126,engage,"[動](人)を引き込む, 従事[参加]させる; ~を約束する, 保証する",,
127,algorithm,[名]アルゴリズム,,
128,recover,"[動](病気などから)回復する; 正常な状態に戻す, (損失)を償う",,
129,diagram,"[動]〜を図表で表す, 図解する",,
130,phase,[動]〜を段階的に実行[計画]する,,
131,minority,[形]少数派の,,
132,setting,"[名]舞台, 設定; 場所, 環境",,
133,period,"[名]時限, 期間",,
134,ground,"[動]〜を基づかせる; 〜を地面に置く, おろす",,
135,standing,"[名]地位, 身分",,
136,sector,"[名]部門, セクター; 区域; 扇形",,
137,status,"[名](変動のある)状況, 情勢",,
138,moral,"[形]道徳的な, 教訓的な",,
139,convert,"[動]〜を改造する; 転換する, 変わる",,
140,fire,"[動](人)を解雇する, 首にする; (銃・弾丸)を発砲する, 発射する",,
141,minute,"[形]極めて僅かな, 微小の",,
142,draft,"[名]草案, 下書き",,
143,fine,[名]罰金,,
144,defendant,[名]被告(人),,
145,confer,"[動]話し合う, 協議する",,
146,revolutionary,"[形]革新的な, 画期的な; 革命の, 革命に関する",,
147,median,"[形]中央の, 中間の; 中線の",,
148,disciplined,[形]規律正しい; よく訓練された,,
149,manufacturing,[形]製造の,,
150,momentarily,"[副]一瞬, ちょっとの間",,
151,overall,"[副]全体的に, 全般的に言えば",,
152,ratio,"[名]割合, 比率",,
153,attorney,[名]弁護士; 代理人,,
154,mechanism,[名]しくみ; 構造; 手順,,
155,forecast,"[名]予測, 予想",,
156,initial,"[形]最初の, はじめの",,
157,transition,"[名]移行, 移り変わり; (舞台や音楽などの)場面転換, 転調",,
158,division,"[名](意見などの)分裂, 相違; 分割; 一部, 区分; 分けるもの; 割り算, 除法",,
159,logic,"[名]論理, 論法; 理屈; 論理学; (コンピュータの)ロジック, 理論回路",,
160,violation,"[名](法律・約束などの)違反(行為), 無視; (権利などの)侵害, ぼうとく",,
161,channel,"[動]〜を(...に)向ける, 〜を注ぐ",,
162,dynamic,"[形](人が)活力に満ちた, 精力的な; 動的な; 動力の",,
163,flow,"[名](考え・言葉の)流れ; 流入; 流出量, 供給量",,
164,attribute,"[動]〜に起因すると考えられる, 〜のせいにする",,
165,shift,"[動](責任など)を転嫁する; (物・視線)を移す, 移動する; (焦点・考えなどが)変わる, 移る",,
166,generation,"[名]世代, 同時代の人々; 一世代; (家族の)一代",,
167,hypothesis,"[名](科学上の)仮説, 仮定; (議論の)前提",,
168,criterion,"[名]<複>(判断の)基準, 標準; 尺度",,
169,faulty,"[形](機械などが)欠陥[欠点]のある; (判断などが)誤った, 不完全な",,
170,relatively,"[副]比較的, 相対的に; かなり",,
171,ensure,"[動]〜を保証する; 〜を確実にする, 確かめる",,
172,map,[動]〜の地図を描く; 〜を計画する,,
173,air,"[動](不平など)を述べる, (意見など)を公表する; (衣服など)を空気に当てる; 換気する; 〜を放送[放映]する",,
174,particle,"[名]ひとかけら, 小さな粒; 粒子",,
175,feedback,"[名]反響, 反応; 意見、フィードバック",,
176,relevant,"[形]関係する, 関連がある; 適切な, 的を得た",,
177,intentional,"[形]意図的な, 故意の",,
178,monitor,"[動]〜を監視する, チェックする",,
179,fast,[動](宗教上の理由で)断食する,,
180,commerce,"[名]商業; 通商, 貿易",,
181,crisis,"[名]難局, 重大局面; 分かれ目, 転機; (病気の)峠",,
182,disorder,"[名]疾患, 病気; 無秩序, 混乱",,
183,contained,"[形]落ち着いた, 自制した",,
184,man,[動]〜に人員を配置する,,
185,occur,"[動]起こる, 生じる",,
186,influence,[動]〜に影響を与える; 〜を感化する,,
187,theory,"[名]理論, 学説",,
188,species,[名]種,,
189,demanding,"[形]きつい, 多くを要求する",,
190,material,"[名]素材; 材料, 物質",,
191,lower,"[動]〜を下げる, 低くする; 下に向ける",,
192,resource,"[名]<複>資源, 供給源; 財産; 素質; 教材, 資料",,
193,store,"[動]〜を蓄える, 保管する",,
194,mine,"[名]鉱山, 鉱脈",,
195,doctorate,[名]博士号,,
196,eligible,[形]資格を持った; 適任の; (結婚相手として)望ましい,,
197,equivalent,"[形]同等の, 同量の; (〜に)相当する",,
198,perspective,"[名]見方, 考え方; 遠近法, 透視図法; 見通し",,
199,evolution,"[名]進化; 発展, 進展",,
200,candidate,"[名]候補者; 志願者, 受験者",,
,,,,
201,saw,[名]のこぎり,,
202,season,[動]〜に味を付ける; (木材)を乾燥させる; (人)を鍛える,,
203,well,"[名]井戸, 油井",,
204,lecture,"[名]講義, 講演",,
205,argument,"[名]議論, 口論; 論点, 梗概",,
206,climate,"[名]気候; 傾向, 風潮",,
207,border,"[名]国境, 境界(線); へり, 枠",,
208,mostly,"[副]主に; ほとんどの場合, たいていは",,
209,scientific,[形]科学的な; 系統立った,,
210,locate,"[動]〜を置く; (人・物)を見つける, 探し出す",,
211,screen,"[動]〜を選抜する, 審査する; (人)をかばう; 〜を隠す, (風や光から)〜を守る",,
212,finance,[動]〜に資金を用意[調達/融資]する,,
213,edge,"[名]<単>優勢, 有利; (話などの)鋭さ, 切れ味; 端, はずれ, 緑; 刃, (刃の)鋭さ",,
214,brief,"[形](話などが)手短な, 簡潔な; 短時間の, つかの間の",,
215,equilibrium,"[名](心の)平静; バランス, つり合い; 力のつり合い; 平衡",,
216,segment,"[動]〜を分割する, 分ける; 分かれる",,
217,communicable,"[形]伝染性の, 伝達できる",,
218,suicide,[名]自殺; 自殺者; 自殺行為,,
219,provision,"[名]規定, 条項; 供給(量), 支給; 用意, 準備, 対策",,
220,initiativfe,[名]自発性; 率先,,
221,efficient,"[形]効率的な, 有効な; (人が)有能な, 能力のある",,
222,deposit,"[名]預金, 積立金; 敷金, 保証金; 鉱床, 埋蔵; 堆積物",,
223,switch,"[動]移行する; 変わる, 転換する; 〜を変更する, 変える, 交換する",,
224,vector,"[名]病原媒介生物; ベクトル; (乗り物の)針路, 方向",,
225,electron,[名]電子,,
226,plot,"[名]策略, 陰謀; (小説などの)筋, 構想; 小さな区画(用地)",,
227,appoint,"[動]〜を(職位などに)任命する; (約束場所・時間)を決める, 指定する",,
228,scenario,"[名]筋書き, (予想される)今後の展開; (劇・映画の)シナリオ, 脚本, 台本",,
229,specify,[動]〜を指定する; 〜を具体的に[明確に]述べる,,
230,waver,"[動](気持ちが)揺れ動く, くじける; (声が)震える",,
231,specifically,"[副]具体的に, はっきりと; 特に, 特別に",,
232,commission,[動](仕事などを)委託[委嘱]する,,
233,curvature,"[名]湾曲, 曲げること",,
234,extend,"[動](親切など)を施す; 〜を伸ばす, 延長する; 伸びる, 広がる; 届く",,
235,gender,"[名](社会的・文化的)性別, ジェンダー",,
236,protocol,"[名]外交儀礼; 協定, 協議書",,
237,cite,[動]〜を特記する; 〜を引用する; 〜に言及する; 〜への出廷を命ずる,,
238,familiar,"[形]よく知る, なじみの; ありふれた; 砕けた, 親密な; なれなれしい",,
239,rank,[動]〜を順位づけする; 〜を評価する,,
240,reasonable,"[形]理性的な, 分別のある; 程良い",,
241,enhanced,[形]強化型の,,
242,formulate,[動]〜を考案する; 〜を公式化する; (考えなど)を組み立てる,,
243,statute,"[名]法規, 定款",,
244,transformation,"[名]変容, (昆虫などの)変態",,
245,informant,[名]情報提供者,,
246,existential,[形]実存の,,
247,promote,[動]〜を宣伝する; 〜を促進する; 〜を昇進させる,,
248,commentary,[名]解説; 注釈,,
249,emotional,"[形]感動的な, 感情に訴える; 感情の",,
250,domain,"[名]領地; 領域, 分野",,
251,hierarchy,[名]階層制度,,
252,constitution,[名]体格; <法律>憲法; 設立,,
253,considerate,[形]思いやりのある,,
254,bear,[動]〜に耐える; (子を)産む; 曲がる; 位置する,,
255,thesis,"[名]論文; 論題, 主題",,
256,restrict,[動]〜を制限する,,
257,profess,[動]〜を告白する; 〜であると自称する,,
258,yield,[名]収穫高;  利回り,,
259,volume,"[名]巻; 体積, 容積; 量",,
260,liability,"[名]重荷; 不利な点; 責任, 義務",,
261,promising,"[形]前途有望な, 期待の持てる",,
262,humor,[動]〜に調子を合わせる; (人)の機嫌を取る,,
263,framework,[名]枠組み,,
264,victim,[名]犠牲者; いけにえ,,
265,diagnose,[動](病気など)を診断する,,
266,disastrous,[形]悲惨な; 災害を引き起こす,,
267,mannerism,"[名]癖, 特徴; マンネリズム",,
268,perception,"[名]知覚; 理解, 認識",,
269,replace,[動]〜を取り替える; 〜に取って代わる,,
270,bar,[動]〜を禁じる; (道・窓など)をふさぐ,,
271,circumstantial,[形]状況の; 付随的な; 詳細な,,
272,allocate,[動]〜を割り当てる,,
273,revenue,"[名]歳入; 収入, 収益",,
274,unique,"[形]またとない, 唯一無二の; 珍しい, ユニークな",,
275,amend,"[動]〜を修正する, 改善[改良]する",,
276,contemporary,"[名]同年代の人, 同年齢の人",,
277,reliable,"[形]信頼できる, 確実な",,
278,molecule,[名]分子; 微量,,
279,organic,[形]有機栽培の; 有機体の; 器官の,,
280,personnel,"[名]人事, 人員, 職員; 人事部",,
281,peer,"[名]仲間, 同級生; 同僚; 貴族, 上院議員",,
282,declare,"[動]〜を宣言する, 表明する",,
283,settle,"[動]〜を決着させる, 終わらせる; 定住する",,
284,implication,"[名]意味合い, 暗示, 含意",,
285,visualize,"[動]〜を視覚化する, 可視化する",,
286,addicted,[形]中毒になっている; 病みつきの,,
287,reject,"[動](受験者など)を不合格にする; (法案など)を否決する, 棄却する; (提案・要求など)を断る, 拒否する; (製品)を捨てる, 廃棄する",,
288,exceptional,"[形](能力などが)極めて優れた, 並はずれた; 例外的な",,
289,net,"[形]正味の, 中身だけの; 結局の",,
290,eventually,"[副]そのうち, ゆくゆく; 結局は",,
291,jointly,"[副]共同して, 一緒に",,
292,dependent,"[形](援助に)依存している, 頼っている; <心理学>依存症の",,
293,green,[形]環境に優しい; 緑の; 未熟な,,
294,flexible,"[形]やわらかい, 曲げやすい; 柔軟性のある",,
295,forum,"[名]討論会, フォーラム",,
296,finite,"[形]有限の, 限られた",,
297,adolescent,[名](青春期の)若者,,
298,impatiently,[副]いらいらして; 待ち遠しく,,
299,procedural,"[形](訴訟)手続きに関する, 進行上の",,
300,preventative,"[形]予防の, 防止の",,
